_id,person_id,company,coll_name,year_film,year_ceremony,ceremony,category,name,film,winner,movie_id
5f8ed8c6dc50381ff768453b,2106,false,oscar,1935,1936,8,SHORT SUBJECT (Cartoon),walt disney,"[""who"",""killed"",""cock"",""robin""]",false,109323
5f8ed8c6dc50381ff768483b,1261694,false,oscar,2013,2014,86,ACTOR IN A SUPPORTING ROLE,barkhad abdi,"[""captain"",""phillips""]",false,109424
5f8ed8c6dc50381ff768484b,21807,false,oscar,2013,2014,86,WRITING (Adapted Screenplay),billy ray,"[""captain"",""phillips""]",false,109424
5f8ed8c6dc50381ff768484f,54417,false,oscar,2013,2014,86,BEST PICTURE,dana brunetti,"[""captain"",""phillips""]",false,109424
5f8ed8c6dc50381ff7684850,1392609,false,oscar,2013,2014,86,SOUND MIXING,chris burdon,"[""captain"",""phillips""]",false,109424
5f8ed8c6dc50381ff7684861,29405,false,oscar,2013,2014,86,FILM EDITING,christopher rouse,"[""captain"",""phillips""]",false,109424
5f8ed8c6dc50381ff768486b,4767,false,oscar,2013,2014,86,BEST PICTURE,michael de luca,"[""captain"",""phillips""]",false,109424
5f8ed8c6dc50381ff7684897,1395024,false,oscar,2013,2014,86,SOUND MIXING,mike prestwood smith,"[""captain"",""phillips""]",false,109424
5f8ed8c6dc50381ff7684898,1408373,false,oscar,2013,2014,86,SOUND EDITING,oliver tarney,"[""captain"",""phillips""]",false,109424
5f8ed8c6dc50381ff768489e,2997,false,oscar,2013,2014,86,BEST PICTURE,scott rudin,"[""captain"",""phillips""]",false,109424
5f8ed8c6dc50381ff7684a8c,15774,false,oscar,2013,2014,86,ANIMATED FEATURE FILM,chris buck,"[""frozen""]",true,109445
5f8ed8c6dc50381ff7684a98,61416,false,oscar,2013,2014,86,ANIMATED FEATURE FILM,peter del vecho,"[""frozen""]",true,109445
5f8ed8c6dc50381ff7684aab,1120694,false,oscar,2013,2014,86,ANIMATED FEATURE FILM,jennifer lee,"[""frozen""]",true,109445
5f8ed8c6dc50381ff7684cfa,2228,false,oscar,2001,2002,74,ACTOR IN A LEADING ROLE,sean penn,"[""i"",""am"",""sam""]",false,10950
5f8ed8c6dc50381ff768527b,47077,false,oscar,1945,1946,18,ART DIRECTION (Black-and-White),roland anderson,"[""love"",""letters""]",false,109881
5f8ed8c6dc50381ff7685289,8622,false,oscar,1945,1946,18,ART DIRECTION (Black-and-White),hans dreier,"[""love"",""letters""]",false,109881
5f8ed8c6dc50381ff768528d,39554,false,oscar,1945,1946,18,ACTRESS,jennifer jones,"[""love"",""letters""]",false,109881
5f8ed8c6dc50381ff768528f,7688,false,oscar,1945,1946,18,ART DIRECTION (Black-and-White),ray moyer,"[""love"",""letters""]",false,109881
5f8ed8c6dc50381ff7685292,26026,false,oscar,1945,1946,18,MUSIC (Music Score of a Dramatic or Comedy Picture),victor young,"[""love"",""letters""]",false,109881
5f8ed8c6dc50381ff7685432,14869,false,oscar,1938,1939,11,ACTRESS,margaret sullavan,"[""three"",""comrades""]",false,109970
5f8ed8c6dc50381ff7685446,7270,false,oscar,1987,1988,60,DIRECTING,adrian lyne,"[""fatal"",""attraction""]",false,10998
5f8ed8c6dc50381ff7685448,10427,false,oscar,1987,1988,60,ACTRESS IN A SUPPORTING ROLE,anne archer,"[""fatal"",""attraction""]",false,10998
5f8ed8c6dc50381ff768544b,515,false,oscar,1987,1988,60,ACTRESS IN A LEADING ROLE,glenn close,"[""fatal"",""attraction""]",false,10998
5f8ed8c6dc50381ff768544d,67752,false,oscar,1987,1988,60,WRITING (Screenplay Based on Material from Another Medium),james dearden,"[""fatal"",""attraction""]",false,10998
5f8ed8c6dc50381ff7685453,34693,false,oscar,1987,1988,60,BEST PICTURE,stanley r. jaffe,"[""fatal"",""attraction""]",false,10998
5f8ed8c6dc50381ff7685456,493,false,oscar,1987,1988,60,FILM EDITING,michael kahn,"[""fatal"",""attraction""]",false,10998
5f8ed8c6dc50381ff7685457,34695,false,oscar,1987,1988,60,BEST PICTURE,sherry lansing,"[""fatal"",""attraction""]",false,10998
5f8ed8c6dc50381ff76855bb,67756,false,oscar,1984,1985,57,WRITING (Screenplay Based on Material from Another Medium),michael austin,"[""greystoke"",""the"",""legend"",""of"",""tarzan"",""lord"",""of"",""the"",""apes""]",false,11002
5f8ed8c6dc50381ff76855d3,12689,false,oscar,1984,1985,57,ACTOR IN A SUPPORTING ROLE,ralph richardson,"[""greystoke"",""the"",""legend"",""of"",""tarzan"",""lord"",""of"",""the"",""apes""]",false,11002
5f8ed8c6dc50381ff7685609,6453,false,oscar,2000,2001,73,FILM EDITING,dede allen,"[""wonder"",""boys""]",false,11004
5f8ed8c6dc50381ff768561c,10967,false,oscar,2000,2001,73,WRITING (Screenplay Based on Material Previously Produced or Published),steve kloves,"[""wonder"",""boys""]",false,11004
5f8ed8c6dc50381ff768570d,8891,false,oscar,1977,1978,50,ACTOR IN A LEADING ROLE,john travolta,"[""saturday"",""night"",""fever""]",false,11009
5f8ed8c6dc50381ff768577f,8436,false,oscar,1992,1993,65,ACTRESS IN A SUPPORTING ROLE,miranda richardson,"[""damage""]",false,11012
5f8ed8c7dc50381ff76858d2,14965,false,oscar,1948,1949,21,ACTRESS IN A SUPPORTING ROLE,claire trevor,"[""key"",""largo""]",true,11016
